Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_SmokeTest,Chrome 70.0.3538.77,,2018-11-02 14:09:50,2018-11-02 14:10:53,1m - 3.420s,FAILED
,,,,,,
Test Cases/TC_GoogleSearch - ForceTCFailure,Chrome 70.0.3538.77,,2018-11-02 14:09:51,2018-11-02 14:10:03,11.896s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-02 14:09:55,2018-11-02 14:09:59,3.617s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-02 14:09:59,2018-11-02 14:10:00,1.499s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 14:10:00,2018-11-02 14:10:01,0.505s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 14:10:01,2018-11-02 14:10:02,1.306s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-02 14:10:02,2018-11-02 14:10:03,0.829s,PASSED
,,,,,,
Test Cases/TC_MakeAppt,Chrome 70.0.3538.77,,2018-11-02 14:10:03,2018-11-02 14:10:14,10.623s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-02 14:10:06,2018-11-02 14:10:07,1.390s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-02 14:10:07,2018-11-02 14:10:09,1.495s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 14:10:09,2018-11-02 14:10:09,0.339s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 14:10:09,2018-11-02 14:10:10,0.296s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-02 14:10:10,2018-11-02 14:10:10,0.341s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 14:10:10,2018-11-02 14:10:10,0.292s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-02 14:10:10,2018-11-02 14:10:11,0.624s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 14:10:11,2018-11-02 14:10:11,0.319s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 14:10:11,2018-11-02 14:10:12,0.380s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 14:10:12,2018-11-02 14:10:12,0.317s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 14:10:12,2018-11-02 14:10:12,0.238s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 14:10:12,2018-11-02 14:10:12,0.235s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 14:10:12,2018-11-02 14:10:13,0.304s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-02 14:10:13,2018-11-02 14:10:14,0.739s,PASSED
,,,,,,
Test Cases/TC_GoogleSearch,Chrome 70.0.3538.77,,2018-11-02 14:10:14,2018-11-02 14:10:52,38.761s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-02 14:10:17,2018-11-02 14:10:19,1.990s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-02 14:10:19,2018-11-02 14:10:21,1.604s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 14:10:21,2018-11-02 14:10:52,31.657s,FAILED
