Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_SmokeWPassOnly,Chrome 70.0.3538.77,,2018-11-09 14:50:26,2018-11-09 14:51:13,46.945s,PASSED
,,,,,,
Test Cases/TC_MakeAppt,Chrome 70.0.3538.77,,2018-11-09 14:50:31,2018-11-09 14:51:02,31.156s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-09 14:50:39,2018-11-09 14:50:54,15.673s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-09 14:50:54,2018-11-09 14:50:56,1.352s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 14:50:56,2018-11-09 14:50:56,0.783s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 14:50:56,2018-11-09 14:50:57,0.612s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-09 14:50:57,2018-11-09 14:50:58,0.616s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 14:50:58,2018-11-09 14:50:58,0.333s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-09 14:50:58,2018-11-09 14:50:59,0.632s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 14:50:59,2018-11-09 14:50:59,0.273s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 14:50:59,2018-11-09 14:50:59,0.171s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 14:50:59,2018-11-09 14:51:00,0.542s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 14:51:00,2018-11-09 14:51:00,0.610s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 14:51:00,2018-11-09 14:51:01,0.368s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 14:51:01,2018-11-09 14:51:01,0.496s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-09 14:51:01,2018-11-09 14:51:02,1.042s,PASSED
,,,,,,
Test Cases/TC_GoogleSearch,Chrome 70.0.3538.77,,2018-11-09 14:51:02,2018-11-09 14:51:13,10.525s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-09 14:51:08,2018-11-09 14:51:10,2.086s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-09 14:51:10,2018-11-09 14:51:11,0.782s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 14:51:11,2018-11-09 14:51:12,0.726s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-09 14:51:12,2018-11-09 14:51:13,0.960s,PASSED
